"-OR-","-או-"
"What is PayPal?","מה זה PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","כדי ליצור הסכם חיוב, אם אין הסכמי חיוב פעילים זמינים."
"Will appear as a payment option only for customers who have at least one active billing agreement.","יופיע כאפשרות תשלום רק אצל לקוחות שיש להם לפחות הסכם חיוב אחד פעיל"
"WorldLink Withdrawal","משיכה של WorldLink "
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","האם תרצה לחתום על הסכם חיוב כדי לאפשר רכישות באמצעות PayPal"
"Wrong PayPal Express Checkout Token specified.","צוין סמן שגוי של צ'ק אאוט מהיר של PayPal"
"Yes","כן"
"Yes. Matched Address and five-didgit ZIP","כן. כתובת ומיקוד חמש סיפרתי תואם."
"You will be redirected to the PayPal website in a few seconds.","הינכם מועברים לתשלום מאובטח"
"You will be redirected to the PayPal website when you place an order.","אתה תועבר לאתר PayPal כאשר תבצע הזמנה"
"You will be redirected to the PayPal website.","אתה תועבר לאתר PayPal "
"You will be required to enter your payment details after you place an order.","אתה תצטרך להזין פרטי תשלום אחרי ביצוע ההזמנה"
"eBay Auction Payment","תשלום מכרז eBay"
